번호,통화일시,신고내역(위치),동물종
253,2021-08-27 13:34,로드킬 -  포모도로에서 강원예술고등학교 가는 사이 중앙에 고양이 로드킬 ,
254,2021-08-27 16:27,로드킬 -> 향호리 저수지 둘레길 시내방향으로 돌면서 30분정도 돌면서 냄새가 심해서 주위를 둘러보니 고라니 로드킬,
255,2021-08-30 08:37,"7번국도 고양이, 고라니 삼익아파트 사거리 지나서 사체있다고 있다고함.",
256,2021-08-30 10:38,구정면 농심공장 바로 건너편 ,고라니
257,2021-08-31 10:41,청솔공원 영생의집 들어가는 입구에 고양이 사체신고.,고양이
258,2021-08-31 11:15,입암동에서 병산 넘어가는 뒷길 고양이 로드킬 신고건으로 문의,고양이
259,2021-08-31 11:29,국토관리사무소 -두산동 다인유치원 옆,고양이
260,2021-09-01 09:31,"동물 사체 - 너구리, 아레나 경기장 밑에 회전 로터리에서 교동쪽으로 새로난길 중간에 컨테이너 3개 있음. 컨테이너 옆에 있음. 구고속도로 시청앞에서 강동 나가는쪽 속도 카메라 있는곳 바로 옆에 가드레일 넘어 던져져있음",너구리
261,2021-09-01 17:56,성산면 산북2리 경로당 근처 별내리는 산북에서 경로당 사이 고양이 로드킬 ,고양이
262,2021-09-02 13:14,옥계면 산계리에 수달새끼가  혼자 있음.,새끼수달
263,2021-09-03 08:44,"강문~교동택지, 쟈스민레스토랑 앞, 고양이사체",고양이
264,2021-09-03 10:21,"[로드킬]강릉원주대 정문~주문진뱡향 500미터 지점,  까치사체",까치
265,2021-09-06 08:41,"[로드킬]  7번국도 정동진~시청방향 동해대로 2108, 고양이 사체",고양이
266,2021-09-06 09:28,[로드킬]명주술마당- 고양이 사체 강릉의료원 옆 골목,고양이
267,2021-09-06 15:59,노암동 은마연립 바로 앞 고양이 로드킬 신고 문의,고양이
268,2021-09-07 08:48,"[로드킬] 안인화력~시내 해돋이마을길, 고양이 사체",고양이
269,2021-09-07 16:26,강동면사무소에서 시내 가는 방향 노인복지회관 부근 고양이 로드킬 ,고양이
270,2021-09-07 17:11,길거리에 들고양이가 죽어잇음 . 회산로383번길82-3,고양이
271,2021-09-08 08:35,[로드킬] 새끼고양이 옛날집 추어탕( 병우청뒷편) ~회전교차로 ,고양이
272,2021-09-09 13:41,[로드킬] 포남동 고려3차 앞 고양이 사체,고양이
273,2021-09-13 08:51,[로드킬] 즈므마을 지나서 고가다리내려오면서(강릉방향)신호등 가기 200미터 중앙분리대  개가 죽어있음,강아지
274,2021-09-13 09:19,"주문진~강릉방면, 율곡병원 1km전 로드킬(어떤동물인지 모르는데 크다고하심)",불명
275,2021-09-13 09:22,"주문진~강릉방향, 사천지나서 고가  내려가는길에 큰유기견 사체.",강아지
276,2021-09-13 14:21,국민콜 110 -> 로드킬 신고 : 월호평길 76번길 바로 앞 도로변 고양이 로드킬 ,고양이
277,2021-09-14 11:05,고라니 사체신고(연곡~소금강쪽으로 가는 방향),고라니
278,2021-09-14 12:44,"신한연립, 구보건소뒤길 10, 정문주차장에 고양이 사체",고양이
279,2021-09-15 10:31,고양이 사체- 포남동 / 하평4길25-1,고양이
280,2021-09-15 11:01,"경포해변, 갈매기 두마리가 낚시줄에 엉겨서 해변있음. ",비둘기
281,2021-09-16 09:22,경포~사천방향 사천 보헤미안 박이추 커피 들어오는 입구 좌측편에 쓰레기있는곳에 고양이 사체 있음.,고양이
282,2021-09-16 14:33,고양이 사체 - 사천운전면허장 가는 길,고양이
283,2021-09-23 08:46,[로드킬] 시청~동해가는 7번국도 다리 끝나는 지점 아파트 공사현장 건너편 도로  2차선에서 3차선 바꾸는 지점 너구리,너구리
284,2021-09-23 09:24,[로드킬]회산 도로가에 고라니 사체 이모네 커피숍  포모도로 올라가는 도로,고라니
285,2021-09-23 09:56,[로드킬]옥천동 119안전센터위 니베라장 앞 도로 강아지사체,강아지
286,2021-09-23 13:48,"사임당로 주유소 도로변 고양이 사체 , 추석 전전날부터 있었음",고양이
287,2021-09-24 08:56,"공항대교 위 고라니사체,",고라니
288,2021-09-24 12:58,포남동 홍익한의원 바로 앞  로드킬 신고 문의,불명
289,2021-09-28 09:00,고라니 사체 - 경포오거리에서 올림픽 파크가는길 세븐일레븐 편의점 사이에 사체 있음.,고라니
290,2021-09-28 09:41,더테라스아리스타 맞은편 도로변에 고양이 로드킬 ,고양이
291,2021-09-28 18:21,교1동 주민센터 고양이 로드킬 문의,고양이
292,2021-09-30 10:50,"외곽도로, 대원암 033-647-8935 들어가기전 왕복 2차선 도로가 있음 거기 반경 100미터 안에 너구리가 중앙선에 죽어있음",너구리
293,2021-10-01 10:25,"제일고사거리~서부시장방향, 개사체",강아지
294,2021-10-12 08:49,로드킬 경포 카페 허난설헌생가~ 시내 회전교차로 가는 길 도로 중앙에 큰강아지,강아지
295,2021-10-12 14:20,고양이사체처리 요청내곡동 한라아파트 앞에 디스카운트 수퍼앞,고양이
296,2021-10-12 14:28,"한라내곡아파트 건너편 승강장, 부근에 강호태권도장이 있음`새가 다쳐있다고 함.",새
297,2021-10-14 08:39,[로드킬]송정 세인트존스호텔~안목방향 원형로타리 지나서 남쪽 50미터 지점 중앙선 고양이 사체,고양이
298,2021-10-15 08:51,"[로드킬] 구정초~테라로사 가는 방향, 오독떼기 전수관앞 방지턱2개있는 부분 고양이 사체",고양이
299,2021-10-15 13:05,"다친고양이, 강일여고사거리~강릉역방면 도로 1차로에 있다고함.",고양이
300,2021-10-18 11:21,청솔모 로드킬 신고.(송정해변쪽 군인휴양소~송강리조트 사이 도로에 있음),청솔모
301,2021-10-19 14:15,"고양이사체 - 아산병원에서 강릉방향 고가도로 바로 전에, 교통정보수집 카메라 부근 ",고양이
302,2021-10-22 09:28,태평양 아파트 앞 cu 편의점 옆 하수구에 고양이 로드킬 신고 ,고양이
303,2021-10-22 13:55,공항다리 2차선 도로 개인지 고라니인지 사체 ,강아지 or 고라니
304,2021-10-22 14:25,안목- 공항대교 산책로 입구 고라니 사체 신고 건.,고라니
305,2021-10-25 09:32,로드킬 하이마트 앞 청진동 해장국 가는 방향 횡단보도 고양이 로드킬 신고 ,고양이
306,2021-10-25 17:45,"고양이 사체신고.성산 숲속집 순대국밥집~산북리방향의"" 별내리는 산북"" 가게 가는 방향길에 있음",고양이
307,2021-10-26 09:50,학교 앞 도로. 강릉초등학교에서 쭉 올라오다 보면 만두가게 앞. 고양이 사체 ,고양이
308,2021-10-26 10:38,"고양이사체, 오렌지DC마트~강릉초교방향 만두집앞 도로에 있다고 하심",고양이
309,2021-10-26 10:48,강릉초등학교 오렌지마트 맞은편 한정식 집 도로변 고양이 로드킬,고양이
310,2021-10-26 11:12,오렌지마트 에서 강릉초방향의 만두가게앞,고양이
311,2021-10-27 13:07,"너구리, 강문장모텔앞 공사장 부근 ",너구리
312,2021-10-27 14:41,"남대천, 창포다리 다친 비둘기 구조요청/",비둘기
313,2021-10-28 08:48,[로드킬] 법원~7번국도 올라가는 길 고양이사체 ,고양이
314,2021-10-28 09:27,[로드킬] 오래된 사체 고양이 농산물시장~주유소끼고 좌회전하면 시내로 가는 길 1차로 차단봉 ,고양이
315,2021-10-29 16:49,로드킬로 죽기직전 고양이 있음.동인병원에서 동입병원 입구 4거리 나오기전  길에 있음.,고양이
316,2021-11-01 10:36,인도위 야생동물 사체 처리 요청.강문 릉교회 바로앞 인도에 너구리 사체),너구리
317,2021-11-01 13:28,남강릉ic가다가 KTX공사하는 다리 고라니인지 개인지 사체,강아지 or 고라니
318,2021-11-02 09:00,강릉치대병원 방향 회전교차로에서 과학단지 가는 방향 과속카메라가 있고 동물 이동 통로 있는 방향 고라니 로드킬 문의,고라니
319,2021-11-02 09:08,"택지굴다리~율곡중학교 가는방향, 굴다리 지나서 고양이 사체가 인도에 있다고 합니다.",고양이
320,2021-11-02 17:28,고양이 로드킬신고홍제교(회전교차로에서 내곡동방향으로 신호등에서 좌측에 골프아카데미 가게앞,고양이
321,2021-11-03 09:01,동물사체 신고.(난설헌로에서 강릉교회 회전교차로 전에 있음),불명
322,2021-11-03 09:06,사체 처리 - 로드킬 강릉농협 구정지점 주차하는곳 ( 도로 바로 옆),고양이
323,2021-11-03 12:52,"주문진해수욕장 세븐일레븐 앞, 고양이 죽은 상태로 있음",고양이
324,2021-11-03 13:03,"도립대후문, 고양이로드킬",고양이
325,2021-11-04 15:54,고양이 사체 - 강릉세인트존스호텔 근처 24시 솔향온천 도로에,고양이
326,2021-11-05 10:17,"국민콜, 야생오리 구조 - 주유소에 와서 앉아있음. (교동,  홍길동 주유소) ",야생오리
327,2021-11-05 10:17,고양이 사체 신고.교동 롯데캐슬 입구 GS편의점 앞,고양이
328,2021-11-08 09:14,고라니로드킬신고.금오어울림~문정간도로 새로난방행으로 자스민커피 입구  교차로 인도쪽 풀속에 고라니 사체있음.,고라니
329,2021-11-08 16:46,강일태권도 바로앞에 고양이 사체신고(주막골밥상 건물앞),고양이
330,2021-11-08 18:15,로드킬- 성산면 보광리 콩나물 공장 앞 큰개,강아지
331,2021-11-09 12:17,검정색고양이 로드킬신고월호평동 독송마을회관 바로앞 도로에 있음.,고양이
332,2021-11-09 16:54,"연곡면 동덕3길 36-7 , 너구리가 비닐하우스에 들어와 나가지 않고 있다고 문의",너구리
333,2021-11-10 08:51,로드킬신고.위치 :즈므고가 지나 아산병원 방향의중앙분리대쪽에 동물 로드킬있음.,불명
334,2021-11-10 15:14,"고양이 사체- 포남동 성덕포남로 152번길 24호, 그린하우스 주차장 문의",고양이
335,2021-11-10 18:08,[로드킬] 하늘채~mbc 방송국 내려오는 길 동물사체,불명
336,2021-11-11 17:41,새가 떨어져 다쳐있다고 전화를 주심 -  초당한솔빌라 들어가는 입구(초당원길 99-5),새가
337,2021-11-15 08:49,새끼고양이 로드킬신고홍제교 회전교차로에서 시청방향의 죄회전차선 (중앙선옆에 흰색 새끼고양이),고양이
338,2021-11-15 09:49,고라니 사체 - 농산물시장에서 남강릉 방면 사거리가기 전에 왼쪽도로,고라니
339,2021-11-15 12:43,검은색동물사체.위치 -위촌리에서 송암리로 넘어가는길 중간에 공동묘지 부근. 송암리방향150미터정도에 검은색사체 있음.,불명
340,2021-11-15 14:20,11월3일 로드킬(고양이)사체 신고 건 확인 요청/ ,고양이
341,2021-11-16 08:44,고양이사체 신고위치: 어림지~경찰서 방향의 횡단보도에 있음.,고양이
342,2021-11-16 09:26,"로드킬 신고 - 강릉소방서 쪽 7번국도 신호등 지나서 강릉-동해 방면 고가도로, 강아지 사체 , 반대편엔 고양이 사체","강아지,고양이"
343,2021-11-16 11:49,"강릉역 정문 깃발에서 , 종달새 한마리 죽어있음. ( 태극기 있고 코레일 깃발 3개 있는곳에서 10미터, 빙상경기개최도시 조형물 ) ",종달새
344,2021-11-16 13:46,고양이 사체 - 고용복지센터랑 생각대로 배달업체 사이. 도로 위 ,고양이
345,2021-11-16 18:23,[로드킬]용강동 서부시장 강초에서 성당가는 도로 복권판매점 앞 고양이 로드킬,고양이
346,2021-11-17 09:02,"로드킬 - 주문진에서 강릉들어오는 방향, 즈므고가 지나서 GS칼텍스 주유소 앞 중앙분리대, 고양이 사체",고양이
347,2021-11-18 08:29,로드킬신고구정면 금광2리ktx지나가는 터널밑에 큰 동물사체있음.,불명
348,2021-11-18 09:03,"강릉대로201 , 고양이 사체",고양이
349,2021-11-19 09:00,"송정동 , 고라니 사체  ( 송정동272-1)  도로 바깥쪽으로 사체 ",고라니
350,2021-11-19 11:58,고양이사체 신고.문암정 경로당에서 조금 내려오면 강릉한과 공터 옆에 풀밭에 고양이 사체있음,고양이
351,2021-11-22 14:24,"임당동, 도로변에 고양이 사체 - 강릉대로 194번길 17 건물 ",고양이
352,2021-11-25 14:31,"명륜로53, 고양이사체-화부산막국수 옆",고양이
353,2021-11-25 14:54,[로드킬]강릉역 사거리 공사현장부분 인도에 고양이 사체,고양이
354,2021-11-29 08:32,고양이사체 신고.모전초등학교들어가기전 삼거리주유소에서 강릅방향으로 7번국도로 조금만 들어오면 도로옆 갓길쪽에 고양이 사체있음.,고양이
355,2021-11-29 14:29,정동로 64 근처 도로변 고라니 다쳐있다고 전화를 주심,고라니
356,2021-11-30 09:14,"다친 너구리 구조요청, 정동진 움직이지 않고 고개는 들고있음. 세균이 많이 퍼진듯함강동면 정동진리 50-89 (모텔 앞)",너구리
357,2021-11-30 10:13,"회산동 , 다친 고라니 새끼 , 명주초등학교 앞,",고라니
358,2021-11-30 13:38,구정열린약국 바로 앞 도로변에 고양이 로드킬 신고 문의,고양이
359,2021-12-02 08:42,"고양이나 강아지 사체, 즈므 지나서 천연물연구소 앞",고양이 or 강아지
360,2021-12-03 08:38,"고라니 사체 훼손됨, 안인리에서 시내로 나가는 7번국도 길, 도로주변에 주택이 몇 개 있음. 강릉시청- 정동진 들어가는 방면에는 고양이 사체 있음",고라니
361,2021-12-03 09:48,"강아지 사체 - 공항다리 들어가는 안목에서 나오는 방면, 다리초입.",강아지
362,2021-12-03 09:56,"로드킬 신고- 시청-> 정동진 방향도로  ,운산동443 들어오는 입구 (플라스틱으로 도로 경계 앞) 마을 들어오는 입구 큰 동물 코라니 종류, 성산조경, 흥국조경입구,",고라니
363,2021-12-03 12:07,강아지 사체 - 중앙감리교회에서 경포방면 교회에서 200M 떨어진 위치.,강아지
364,2021-12-07 08:46,너구리 동물사체사천면 해안로 1173번지 크림하우스 카페 도로쪽에 정확하진 않지만 너구리 사체있음.,너구리
365,2021-12-09 11:50,[로드킬]주문진 소돌해변 [언제나소돌펜션] 앞 인도 고양이 사체,고양이
366,2021-12-09 18:20,[로드킬]남강릉ic ~동해방향 도로에 고라니사체,고라니
367,2021-12-10 08:34,새끼 고양이 로드킬신고.입암동 이디야커피 앞 택시승강장에 있음.,고양이
368,2021-12-10 09:07,새끼 고양이 로드킬신고.입암동 이디야커피 앞 택시승강장에 있음.-대목아파트 건너편,고라니
369,2021-12-10 12:49,고라니 사체  - 병산동 최영장군 사당 앞,고라니
370,2021-12-13 11:13,"강일여고, 학교안으로 고라니가 들어왔다고 문의",고양이
371,2021-12-13 18:24,[로드킬]고양이사체 강릉시청 터미널 사거리부근,고양이
372,2021-12-14 08:49,고양이 사체 - 공군비행장 가는길 섬석교 조금 지나가다 보면 있음 ,고양이
373,2021-12-14 08:54,고양이 사체 신고.안인화력발전소 공사장에서 강릉방향으로 안인화력발전소 주차장 앞에 수신호하는 사람 맞은편.,고양이
374,2021-12-15 11:02,"청둥오리 길가에 왔다갔다 하는데 위험하다고 문의제일고사거리, 방배목장아이스크림 가게 앞에 있다고하심.",청둥오리
375,2021-12-15 12:36,교동4거리 인도에 청동오리가 2시간째있음.,청둥오리
376,2021-12-15 14:48,야생동물-회산동 편의점 앞 새가 다쳐서 못 날고 있음,새
377,2021-12-16 08:32,(검정색 동물사체)아산병원에서 강릉방향으로 80km카메라찍히는곳에 있음.,불명
378,2021-12-16 10:12,포남동 유니클로에서 공단 넘어가는 다리 고양이 로드킬 ,고양이
379,2021-12-16 13:47,"고라니 다쳐있음 - 7번국도로 안인가는 길, 우정레미콘 공장 입구 가기 전 300미터 전방에 60Km 제한 지점 표지판 ",고라니
380,2021-12-17 13:24,"고양이 사체 - 7번국도 위, 강릉 안인쪽으로 나가다 보면 모산이랑 강남축구장 가는 삼거리 도로 갓길에 있음",고양이
381,2021-12-17 13:44,"고양이 사체 - 입암동 강중길 26, 바로 옆 건물 아우라지 식당 앞. ",고양이
382,2021-12-21 09:14,"로드킬 신고 - 연곡면 신왕리440-2번지, 양식장 입구 초입에 다리 밑에 도랑 고라니 사체 ",고라니
383,2021-12-21 13:50,비둘기 사체 신고.택지 이디야 커리숍 횡단보도 앞,비둘기
384,2021-12-21 16:58,금성로33 다이소 앞에 기둘기가 날아가지못하고 있음. 다쳤는지는 모름,비둘기
385,2021-12-28 08:30,"안인에서 시청으로 나가는 7번국도 위 , 주유소를 향해 가는 도로 중간에 있음.고라니 사체. ",고라니
386,2021-12-29 12:39,다리다친 고라니 도움요청.경포대3.1절 기념탑있는 주차장 화장실앞에 다리다친 고라니 있음.,고라니
387,2021-12-29 12:47,경포도립공원 주차장 - 고라니가 다쳐서 물에 빠져있음. ,고라니
388,2021-12-30 09:50,주문진 최이비인후과 앞에 고양이 사체있음,고양이
389,2021-12-31 11:44,주문진읍 연주로 526 / 고라니 다쳐있다고 전화를 주심 ,고라니
390,2022-01-03 08:37,시내 가는 방향 강릉IC 나오자마자 1차선 - 고라니 사체.,고라니
391,2022-01-05 12:29,영동대 삼거리 성산가는 방향. 큰 도로에 고양이 사체,고양이
392,2022-01-05 12:37,고라니 로드킬 - 구정 농산물 도매센터 - 농심물류센터 가는 길 학산교차로 도착하기 바로 전 우측 도로 위.,고라니
393,2022-01-05 12:57,고양이 사체 신고정동진역길17-1 화장실앞에 있음,고양이
394,2022-01-05 12:58,"정동역길 17-1 공중화장실 앞 , 고양이 사체 ",고양이
395,2022-01-06 09:21,사근진 아라펜션 주차장에 고라니 사체 있음. 최대한 빨리 처리요청.,고라니
396,2022-01-06 09:32,고라니 로드킬 - 강동면 가나싱크 앞 율곡로 2305. ,고라니
397,2022-01-06 18:10,관동대학교에서 구정약국 가는 길 기산아파트 조금지나서 고라니 로드킬 신고,고라니
398,2022-01-07 10:54,다친 고라니 신고 : 주문진읍 우신아파트 정문 옆 우측 골목길 차 한대 다니는 길에 있음.,고라니
399,2022-01-10 09:13,"주문진에서 사천아산병원가는 고가도로, S-oil주유소 앞 쪽 고라니추정 사체있음",고라니
400,2022-01-10 14:29,강문해수욕장 공영주차장에 고라니 한마리 막 돌아다니고있음,고라니
401,2022-01-12 08:39,시청에서 안인으로 가는 7번국도가는길 주유소 건너편 고라니사체 있음,고라니
402,2022-01-13 08:36,"고양이 사체 - 송정 늘봄공원 앞, 차들 주차되어 있는 갓길쪽에 있음/ ",고양이
403,2022-01-14 10:49,고라니 사체 - 청량동에서 시내나오는 방면 회전교차로 두개있는 곳. 첫번째 회전교차로 진입바로직전 화단에 있음.,고라니
404,2022-01-14 12:37,주소: 창해로 350번길 21 도로변 로드킬당한 비둘기사체있음.,비둘기
405,2022-01-14 12:56,송정동 이마트부근 맘스빈커피 가게 앞  도로 고양이 사체 비슷한게 있음 신고인,고양이
406,2022-01-17 15:56,"연곡면 영진2길 12-3, 근화아파트 노루가 죽었다고 하심 ",노루
407,2022-01-18 10:07,강동면사무소에서 오령사 절 가는 방향 도로변 고라니 ,고라니
408,2022-01-18 13:33,"송정동주민센터 길 건너편, 고라니 로드킬",고라니
409,2022-01-21 08:47,유천스파 건물 뒤쪽 주차장  매 한마리가 다친채 떨어져있음. ,매
410,2022-01-21 10:29,[로드킬]7번국도 주문진에서 강릉방향 ~ 주문진농공단지 입구 1차선 도로/ 고라니사체,고라니
411,2022-01-24 08:48,구정면 삼교리 동치미 막국수 -관동대방면 도로에 고양이 로드킬 사체.,고양이
412,2022-01-24 08:54,"구정 하나로마트 가기 전, 중앙선에 있음. 고양이 로드킬",고양이
413,2022-01-24 11:51,고양이 사체신고108커피숍에서 영진방향으로 조금 올라오면 고양이 사체 있음.,고양이
414,2022-01-24 12:33,연곡면 신왕리 신왕길 388 양식장 낚시터 안쪽 부근 고라니 사체 민원,고라니
415,2022-01-24 17:30,강릉 아이시빠지기전~구정 테라로사가는 길 ,불명
416,2022-01-25 08:53,"고양이로드킬 -  구정 삼교리 동치미 막국수 앞, 구정 가는 방향 도로 ",공ㅇ이
417,2022-01-27 09:36,고양이 로드킬신고.주문진에서 강릉방향으로 한밭 신호등전 중앙분리대쪽에 있음.,고양이
418,2022-02-03 08:47,논에 죽은 고양이 사체있음 사천면 덕실길 46-1  ,고양이
419,2022-02-09 08:41,"강아지 로드킬, 안인에서 월호평동 가는 길 월호평동 입구 바로 직전 사거리 신호등 아래 찻길에 있음.",강아지
420,2022-02-09 10:26,[로드킬]율곡로 타이어뱅크오거리 타이어뱅크 앞 길가 고양이사체,고양이
421,2022-02-09 10:42,이편한 세상 아파트 - 타이어뱅크 사이 큰 길(마당갈비)에 고양이 사체 ,고양이
422,2022-02-09 10:50,[로드킬] 율곡중학교~새로남 교회방향 새로남교회 바로 옆 큰길  중앙에 고양이 사체,고양이
423,2022-02-10 09:24,고양이 사체 신고경강로2531 화이트캐슬 입구 주차장에 있음,고양이
424,2022-02-10 13:02,"동물정책과, 사체 ( 교동짬뽕 원형 로터리 사이 고양이 사체 ",고양이
425,2022-02-10 13:06,[로드킬]강릉대로 임당사거리 ~교동사거리 못미쳐서 고양이 사체,고양이
426,2022-02-10 13:57,교동사거리 근처에 길에 고양이 사체 ( 운전하는데 급정거하고 위험) 교동사거리에서 구터미널 방향 ,고양이
427,2022-02-11 08:40,"구정 학산 오독떼기 전수관 , 고양이  ",고양이
428,2022-02-11 08:54,"강아지 , 구정 오독떼기 전수관 앞쪽에 누런 강아지 로드킬 신고",강아지
429,2022-02-11 08:56,"구정 학산 오독떼기 전수관 , 고양이 사체 있음",고양이
430,2022-02-11 09:22,"고라니 로드킬 신고, 안목사거리 S나인펜션 ",고라니
431,2022-02-14 10:26,강동면 헌화로 648-5 카페미로 바로 옆 고라니 로드킬 문의,고라니
432,2022-02-22 13:54,주문진 시외버스터미널 가는길 다리 건너서 CU 편의점 앞 도로변 고양이 사체 민원 ,고양이
433,2022-02-24 09:32,남항진 예식장(세인트컨벤션웨딩) 버스정류장 앞 고라니 사체,고라니
434,2022-02-28 15:47,사근진 해변 은진펜션 보이는 부근 주차장에 토끼 한마리가 돌아 다닌다고함.차량도 많아서 위험해 보인다고 민원 주심. ,토끼
435,2022-03-02 16:14,야생동물보호- 집앞에 비리비리한 아픈 고라니 한마리가있음.,고라니
436,2022-03-03 08:55,"강릉원주대~법원방향, 원주대 들어가는 입구(고양이)",고양이
437,2022-03-03 17:01,"고양이 사체 -  입암동  세븐나잇이랑 신난다 점핑 사이 밭에 인도 바로 옆, 달보드레, ",고양이
438,2022-03-07 11:35,[로드킬] 연곡면 송림리 마스터가구점 1-3 . 고라니 사체 / 정확한 위치 설명상 담당자 바로연결,고라니
439,2022-03-10 08:50,[로드킬 ]강릉~주문진방향 7번국도 석교리산 262-3 (주문진소방소임) ,불명
440,2022-03-10 09:03,"강아지 사체  -  입암동 강릉중앙고에 전봇대 두개 있음.  ( 원마트 내려가는쪽, 꽃집 바로 앞) 은플라워샵",강아지
441,2022-03-10 09:51,고양이사체 신고MBC정문 건너편 동인병원 방향),고양이
442,2022-03-10 13:29,고라니사체 신고.도로가에서 10m터정도 떨어진 산에 있음,고라니
443,2022-03-11 15:09,고양이 사체 - 택지우편집중국 안쪽길,고양이
444,2022-03-14 10:10,강원예술고등학교 나오는쪽 우측 도로 고양이 사체 있음,고양이
445,2022-03-14 11:55,"1. 7번국도 안인에서 강릉방향으로 남강릉 주유소 가기전 도로변 강아지 로드킬 신고 2. 강동면사무소 가기전 중앙분리대 쪽 고양이 로드킬 ","강아지, 고양이"
446,2022-03-15 12:25,2시간전 강문 회전교차로 직전에서 모르고 고양이를 차로쳤음. 처리관련문의 (입암동에서 스카이베이호텔방향) ,고양이
447,2022-03-17 08:40,"고양이, 유천지구~7번국도 올라와서 만나는지점. 로드킬",고양이
448,2022-03-17 08:41,[로드킬] 유천소방서~7번국도 타려고올라오는 도로 진입하자마자 하얀색 강아지인지 고양이 사체,강아지 or 고라니
449,2022-03-18 14:28,교동 길고양이 사체 명주로 78 (자활센터 올라가는 오르막길 왼쪽에 보면 바로 보임.),고양이
450,2022-03-18 15:13,홍제동 주민센터 - 고양이사체 건. 위치 말씀안하시고 연락처만 알려줌,고양이
451,2022-03-21 08:34,"국토정보공사 건너편, 주문진=>강릉방향 고양이 사체",고양이
452,2022-03-21 14:11,주문진 북강릉 농협주유소 내려가는 방향 쪽에 샬롬 어린이집 방향 강아지 로드킬 ,강아지
453,2022-03-22 11:07,"송정동 한전 맞은편 쪽 농지 고라니 한마리가 계속 뛰어다니는데, 위험해보여 전화주심",고라니
454,2022-03-22 12:53,리더스골프클럽에서 강릉원주대 후문 방향 도로변 중간에 검정색 새 로드킬 있음 ,새
455,2022-03-23 10:38,동물사체 신고.주문진에서 강릉방향으로 법원 지나서 강릉대학교 빠지는 우측으로 있음.,불명
456,2022-03-24 11:21,(로드킬) 동해대로 3947 자연인하우징 바로 앞 도로 고양이 로드킬,고양이
457,2022-03-24 12:28,대목아파트 인도에 고양이가 죽어있음,고양이가
458,2022-03-28 09:20,"로드킬 신고 - 솔향한우식당에서 회전교차로 있고 거기서 즈므 마을 방향으로 가면 사체, 새 동해기정떡 강릉대방향반대로 올라가면 회전교차로 , 거기에서 즈므마을방향으로 새 있음",새
459,2022-03-28 09:28,"동해기정떡 강릉대방향반대로 올라가면 회전교차로 , 거기에서 즈므마을방향으로 새 있음. ",새
460,2022-03-29 09:03,관동대학교에서 구정약국 가는 방향 주유소 바로 앞 강아지 로드킬 신고 ,강아지
461,2022-03-29 09:23,구정프라자앞에 해와달 건물에 (주유소 앞 인도에 죽은 강아지 있음),강아지
462,2022-03-30 11:19,경포호수 부근 새가 날개가 젖혀져있고 못움직인다고 문의,새
463,2022-03-30 13:59,7번국도에서 내곡동 삼익타워가는길동해-> 시청 방향 고양이 사체 ,고양이
464,2022-04-01 13:16,"동물사체 - 입암동 제이엠유치원 앞 도로,  언덕길 중간에 하얀색 강아지 사체",강아지
465,2022-04-04 11:43,로드킬 신고 -> 경포에서 순긋해변 지나서 가이텍팬션 건너편 고양이 로드킬 ,고양이
466,2022-04-04 12:00,"고양이 로드킬 당함- 순긋해변으로  순포습지로 가는 방향, 중간에 추어탕집 바로 앞 도로에 고양이 사체 있음 ",고양이
467,2022-04-04 18:13,mbc~종합경기장 가는길 도로 고양이로드킬,고양이
468,2022-04-07 10:46,경포-집앞에 갈매기인지 비둘기 두마리가 죽어있음. ,비둘기
469,2022-04-07 17:19,[로드킬] 7번국도에서 나가다보면 농수산물시장~남강릉 아이씨  고양이,고양이
470,2022-04-07 17:24,[로드킬] 시청앞에서 7번국도를 통해 나가다보면 농수산물시장~남강릉 IC  가기전( 국도) 고양이? 사체,고양이
471,2022-04-08 14:34,"율곡교차로 한전케이디엔 강릉지점 건너편, 사슴이 다리다쳐있다고 연락주심",사슴
472,2022-04-11 10:45,"로드킬신고.농산물도매시장 후문간판 있는곳, 고라니사체 ",고라니
473,2022-04-11 11:04,(로드킬) 내곡교에서 남산공원 방향 중간쯤 고양이 로드킬 문의,고양이
474,2022-04-11 11:19,강릉대교에서 내곡교 가는 방향 고양이 로드킬 신고 전화를 주심 ,고양이
475,2022-04-12 12:18,[로드킬]병산동 낚지대장 밥집앞  인도  나무아래 고양이 사체,고양이
476,2022-04-14 15:14,[로드킬] 율곡로 ;(시내~바닷가쪽으로 나가는 방향) 현대주유소 못미쳐서 고양이사체,고양이
477,2022-04-15 09:10,"7번국도 위, 내곡동~정동진~강남구장 신호받는 사거리, 사거리에서 안인쪽으로 가다보면 '보리사' 가기 전 도로에 고라니사체 1개,  그 뒤로 쭉 가다보면 남강릉 주유소 지나서 강릉방면 도로 갓길에 고라니 사체 1개. ",고라니
478,2022-04-15 10:06,"연곡에서 주문진가는 방향, 2차선 도로 신생빌라 200m 전, 족제비나 너구리 사체",족제비 or 너구리
479,2022-04-15 13:32,"비둘기 사체 - 내곡동 남대천 강변로 169 푯말이 적혀져 있는 곳 계단 내려오자마자 왼쪽편 잔디, 깻잎두마리치킨 건너편 쪽.",비둘기
480,2022-04-18 14:14,동물사체신고위치:주문진 정보고등학교 ~골목길 나가서 차다니는 사거리. 국민아파트(고양이사체)신고인,고양이
481,2022-04-25 09:03,고양이 로드킬 신고.시청에서 7번국도 내곡동 방향으로 다리건너자마자 고양이 사체있음.,고양이
